PATH,ROW,LATITUDE,LONGITUDE
4,187,-75.6633,63.0699
4,188,-76.3733,60.7538
4,189,-77.0607,58.1994
4,190,-77.7219,55.3761
4,191,-78.3524,52.2516
4,192,-78.9469,48.7925
4,193,-79.4993,44.967
4,194,-80.0027,40.7484
4,195,-80.4494,36.1201
4,196,-80.831,31.0826
4,197,-81.1391,25.6604
4,198,-81.3659,19.9079
4,199,-81.5049,13.9115
5,1,81.5049,-166.759
5,2,81.3659,-172.756
5,3,81.1391,-178.508
5,4,80.831,176.07
5,5,80.4494,171.032
5,6,80.0027,166.404
5,7,79.4993,162.185
5,8,78.9469,158.36
5,9,78.3524,154.901
5,10,77.7219,151.776
5,11,77.0607,148.953
5,12,76.3733,146.398
5,13,75.6633,144.082
5,14,74.934,141.977
5,15,74.188,140.058
5,16,73.4276,138.304
5,17,72.6546,136.695
5,18,71.8707,135.215
5,19,71.0771,133.849
5,20,70.275,132.585
5,21,69.4655,131.411
5,22,68.6493,130.318
5,23,67.8271,129.298
5,24,66.9996,128.343
5,25,66.1673,127.446
5,26,65.3307,126.603
5,27,64.4902,125.808
5,28,63.6462,125.057
5,29,62.7989,124.345
5,30,61.9486,123.67
5,31,61.0957,123.028
5,32,60.2402,122.416
5,33,59.3825,121.832
5,34,58.5226,121.273
5,35,57.6607,120.739
5,36,56.797,120.226
5,37,55.9316,119.733
5,38,55.0646,119.26
5,39,54.1961,118.803
5,40,53.3262,118.363
5,41,52.455,117.937
5,42,51.5826,117.526
5,43,50.709,117.128
5,44,49.8343,116.742
5,45,48.9585,116.367
5,46,48.0818,116.003
5,47,47.2041,115.65
5,48,46.3255,115.305
5,49,45.4461,114.97
5,50,44.5658,114.642
5,51,43.6848,114.323
5,52,42.803,114.011
5,53,41.9206,113.706
5,54,41.0374,113.408
5,55,40.1536,113.115
5,56,39.2692,112.829
5,57,38.3842,112.548
5,58,37.4986,112.272
5,59,36.6125,112.002
5,60,35.7258,111.735
5,61,34.8387,111.474
5,62,33.951,111.217
5,63,33.0629,110.963
5,64,32.1743,110.713
5,65,31.2853,110.467
5,66,30.3958,110.225
5,67,29.506,109.985
5,68,28.6157,109.749
5,69,27.7251,109.515
5,70,26.8342,109.285
5,71,25.9429,109.057
5,72,25.0512,108.831
5,73,24.1593,108.607
5,74,23.267,108.386
5,75,22.3744,108.167
5,76,21.4816,107.95
5,77,20.5885,107.735
5,78,19.6951,107.521
5,79,18.8015,107.309
5,80,17.9077,107.099
5,81,17.0137,106.89
5,82,16.1194,106.683
5,83,15.225,106.477
5,84,14.3303,106.272
5,85,13.4355,106.068
5,86,12.5405,105.865
5,87,11.6454,105.663
5,88,10.7502,105.462
5,89,9.85476,105.262
5,90,8.95925,105.063
5,91,8.06363,104.864
5,92,7.16791,104.666
5,93,6.27211,104.468
5,94,5.37623,104.271
5,95,4.48029,104.074
5,96,3.5843,103.878
5,97,2.68826,103.681
5,98,1.79219,103.485
5,99,0.896101,103.289
5,100,-0,103.094
5,101,-0.896101,102.898
5,102,-1.79219,102.702
5,103,-2.68826,102.506
5,104,-3.5843,102.31
5,105,-4.48029,102.113
5,106,-5.37623,101.916
5,107,-6.27211,101.719
5,108,-7.16791,101.521
5,109,-8.06363,101.323
5,110,-8.95925,101.124
5,111,-9.85476,100.925
5,112,-10.7502,100.725
5,113,-11.6454,100.524
5,114,-12.5405,100.322
5,115,-13.4355,100.119
5,116,-14.3303,99.9153
5,117,-15.225,99.7103
5,118,-16.1194,99.5041
5,119,-17.0137,99.2967
5,120,-17.9077,99.0879
5,121,-18.8015,98.8776
5,122,-19.6951,98.6657
5,123,-20.5885,98.4522
5,124,-21.4816,98.237
5,125,-22.3744,98.0198
5,126,-23.267,97.8008
5,127,-24.1593,97.5796
5,128,-25.0512,97.3562
5,129,-25.9429,97.1305
5,130,-26.8342,96.9023
5,131,-27.7251,96.6716
5,132,-28.6157,96.4381
5,133,-29.506,96.2017
5,134,-30.3958,95.9623
5,135,-31.2853,95.7196
5,136,-32.1743,95.4736
5,137,-33.0629,95.2239
5,138,-33.951,94.9705
5,139,-34.8387,94.7131
5,140,-35.7258,94.4516
5,141,-36.6125,94.1855
5,142,-37.4986,93.9148
